Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition
"Restored HP Compaq 8200-SFF WA2-0343 Desktop PC with Intel Core i5-2400 Processor, 16GB Memory, 2TB Hard Drive and Windows 10 Pro (Monitor Not Included) (Refurbished)",2G0-33O-64J,0.00,0,0,0,"",50644246,50644246,0,"",0.00,0.00,0.00,TABLETS,HP,0.0,0.00,"",0,Restored: Like New
Dell Optiplex Windows 10 Pro Desktop Computer Intel Core i5 3.1GHz Processor 8GB RAM 500GB HD Wifi with a Monitor Not Included LCD Monitor Keyboard and Mouse (Condition: Good),FZ4-4A57-U92,0.00,0,1,0,"",384033422,384033422,1,100.0,122.00,122.00,0.00,COMPUTING,Dell,50.0,0.00,122.00000000000000000,1,New
Pre-Owned Dell Optiplex 7010 Desktop I3-2120 Dual Core 3.3Ghz 8GB 1TB DVD-RW HDMI Windows 11 64 Bit with (Monitor Not Included) (Refurbished: Like New),BM1-7Y17-U78,0.00,0,0,0,"",105892514,105892514,0,"",0.00,0.00,0.00,TABLETS,Dell,0.0,0.00,"",0,New
Pre-Owned Dell OptiPlex 7010 Desktop Computer Intel Core i5 3.1GHz Processor 8GB RAM 500GB HD Wifi with a (Monitor Not Included) Windows 11 Pro- Used Like,HU7-6D96-R90,0.00,0,0,0,"",662613266,662613266,0,"",0.00,0.00,0.00,TABLETS,Dell,27.988384246826172,0.00,"",0,Pre-Owned: Good
"Pre-Owned Used Windows 10 Pro 64bit Fast HP 8300 Desktop Computer Tower PC Intel Quad-Core i3 3.2GHz Processor 8GB RAM 2TB Hard Drive with Dual i9"" LCD Monitors Keyboard and Mouse",OEK-Q2Y-GJI,0.00,0,0,0,"",807254863,807254863,0,"",0.00,0.00,0.00,TABLETS,HP,0.0,0.00,"",0,Pre-Owned: Good
Fast Dell Optiplex 7010 Desktop PC I5-3470 Quad Core 3.2Ghz 16GB 240SSD DVDRW Windows 11 64 Bit WiFi with (Monitor Not Included),KDD-FW6G-XUI,520.53,3,2,2,100.0,759505167,759505167,2,100.0,694.04,0.00,173.51,COMPUTING,Dell,66.66666666666667,489.30,173.51000000000000000,0,New
"Pre-Owned HP EliteDesk Desktop, Intel Dual-Core i5, 16 gb, 1 tb HDD",ZMN-NU1-CHT,148.90,1,2,10,0.0,574858116,574858116,13,15.384615384615385,297.80,0.00,148.90,TABLETS,HP,16.836721420288086,139.97,148.90000000000000000,0,Pre-Owned: Good
"Dell OptiPlex 3020 Ultra Small Form Desktop Computer PC, 3.20 GHz Intel i5 Quad Core , 16GB DDR3 RAM, 1TB HDD Hard Drive, Windows 11 Pro 64Bit (Monitor Not Included)",532-AYKE-IMH,1949.52,12,15,74,18.91891891891892,409629193,409629193,149,10.738255033557047,2436.92,167.15,320.25,COMPUTING,Dell,67.41662507898667,1823.34,162.46133333330000000,1,New
Pre-Owned Dell Optiplex 790 Windows 11 Pro Desktop Computer Intel Core i5 3.1GHz Processor 8GB RAM 500GB HD Wifi with a (Monitor Not Included) Keyboard and Mouse - Used PC with a 1 Year Warranty,UY8-9Y93-M58,307.94,2,2,2,50.0,476869431,476869431,3,66.66666666666666,461.91,0.00,153.97,TABLETS,Dell,25.0,289.46,153.97000000000000000,0,Pre-Owned: Good
"Restored Dell OptiPlex 3040 Desktop Computer Bundle with an Intel Core i5 Processor 8GB Memory 128GB SSD DVD-RW Wi-Fi with a 19"" LCD and a T-Wolf S6 LED Soundbar Windows 10 PC (Refurbished)",LYL-E8P-RNI,285.94,2,3,1,0.0,443921927,443921927,298,2.684563758389262,428.91,0.00,142.97,TABLETS,Dell,55.48330747164213,268.78,142.97000000000000000,0,Restored: Like New
Pre-Owned Dell OptiPlex 7010 Windows 11 Pro Desktop Computer Intel Core i5 3.1GHz Processor 8GB RAM 500GB HD Wi-Fi (Monitor Not Included) Keyboard and Mouse - Used PC with a 1 Year Warranty,TX0-EN-4L2,0.00,0,0,0,"",3538421682,3538421682,0,"",0.00,0.00,0.00,TABLETS,Dell,0.0,0.00,"",0,Pre-Owned: Good
Pre-Owned Windows 10 Pro 64bit Fast Dell 9010 Desktop Computer Tower PC Intel Quad-Core i5 3.2GHz Processor 8GB RAM 2TB Hard Drive (Monitor Not Included) Keyboard and Mouse,7U9-9VF-MW9,0.00,0,0,0,"",276895736,276895736,2,0.0,0.00,0.00,0.00,TABLETS,Dell,47.32752482096354,0.00,"",0,Pre-Owned: Good
"Dell OptiPlex 3020 Tower Computer PC, 3.20 GHz Intel i5 Quad Core , 16GB DDR3 RAM, 480SSD SATA Hard Drive, Windows 11 Pro 64bit (Monitor Not Included)",USH-QBJS-R8U,616.80,3,1,3,33.33333333333333,278242633,278242633,4,25.0,616.80,0.00,0.00,COMPUTING,Dell,100.0,579.79,205.60000000000000000,0,New
"Dell OptiPlex 790 Tower Computer PC, 3.10 GHz Intel i5 Quad Core Gen 2, 8GB DDR3 RAM, 2TB SATA Hard Drive, Win11 Pro 64bit (Monitor Not Included)",XC6-QBPQ-71K,331.04,2,1,2,50.0,117682677,117682677,2,50.0,331.04,0.00,0.00,COMPUTING,Dell,56.45156764984131,311.18,165.52000000000000000,0,New
DELL Gaming PC Desktop Core i5 16GB 512GB SSD Windows 10 Pro For Fortnite Gaming,XJ4-3X67-N87,197.22,1,2,36,5.555555555555555,990166723,990166723,52,3.8461538461538463,394.44,0.00,197.22,COMPUTING,Dell,66.66666666666667,185.39,197.22000000000000000,0,New
"Restored Dell OptiPlex 990 Desktop Tower Computer, Intel Core i7, 16GB RAM, 1TB HD, DVD-ROM, Windows 10 Pro, Black (Refurbished)",CED-D5V-K8N,0.00,0,1,2,50.0,534854099,534854099,4,25.0,163.97,0.00,163.97,TABLETS,Dell,50.0,0.00,163.97000000000000000,0,Restored: Like New
Pre-Owned Windows 11 Pro 64bit Fast Dell 9010 Desktop Computer Tower PC Intel Quad-Core i5 3.2GHz Processor 8GB RAM 500GB Hard Drive with a (Monitor Not Included) Keyboard and Mouse,33A-A9G-807,0.00,0,0,0,"",956678367,956678367,3,0.0,0.00,0.00,0.00,TABLETS,Dell,50.0,0.00,"",0,Pre-Owned: Like New
"Windows 7 Pro Dell OptiPlex 7010 Desktop Computer, Intel Core i5 i5-4590 Quad-core (4 Core) 3.30 GHz, 8GB RAM DDR3 SDRAM, 1TB HDD, Small Form Factor, Black, Gray with 19"" LCD Monitor",LO7-8J38-O57,170.94,1,1,0,"",777758233,777758233,0,"",170.94,0.00,0.00,COMPUTING,Dell,0.0,160.68,170.94000000000000000,0,New
Pre-Owned Dell Optiplex 7010 Desktop Tower Core i5 3.20GHz 16GB 1TB HDD DVD Win 10 Pro - Used (Monitor Not Included),M16-NHKT-F82,0.00,0,0,0,"",106523367,106523367,0,"",0.00,0.00,0.00,TABLETS,Dell,100.0,0.00,"",0,Pre-Owned: Like New
