Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition,cancellation_Rate,Refund_Rate
Dell Optiplex 7010 Windows 11 Pro Desktop PC Tower Core i3 3.1GHz Processor 8GB RAM 500GB Hard Drive DVD-RW Wifi with a (Monitor Not Included) -Used Computer,HO3-1D81-D74,149.9,1,1,4,25.0,364087931,364087931.0,7,14.285714285714285,149.9,0.0,0.0,TABLETS,Dell,0.0,140.91,149.9,0,New,0.0,0.0
"Pre-Owned Dell Optiplex 7010 WA1-0231 Desktop PC with Intel i5 Processor, 16GB Memory, 2TB Hard Drive and Windows 11 Pro (Monitor Not Included) - Used",XLX-4VZG-UYW,210.8,1,2,4,50.0,485386299,485386299.0,5,40.0,421.6,0.0,210.8,TABLETS,Dell,21.76874287923177,198.15,210.8,0,Pre-Owned: Like New,0.0,105.4
"HP Elite Desktop Computer PC, 3.1 GHz, Intel Core i5, 16GB, RAM, 1TB HDD, New 22 inch LED Monitor, RGB Speaker and Keyboard Mouse, WiFi, Windows 10 Pro (used)",A62L-MXJG-VPN09,182.99,1,1,6,16.666666666666664,3299362450,3299362450.0,9,11.11111111111111,182.99,0.0,0.0,TABLETS,HP,100.0,172.01,182.99,0,New,0.0,0.0
"Restored HP G1 Desktop Computer Core i5 CPU up to 16GB RAM 2TB HDD or 512GB SSD and a 24"" LCD with Windows 10 (Refurbished)",8G3-3BM-AHBX,614.8,4,3,0,,1195096336,1195096336.0,9,33.33333333333333,922.2,0.0,307.4,TABLETS,Dell,0.0,577.91,153.7,0,Restored: Like New,0.0,102.46666666666665
Dell OptiPlex 7010 Desktop Computer 8GB RAM DDR3 3.6 GHz 1TB 256GB SSD Quad Core i5 Windows 11 Pro PC (Monitor Not Included),HH1-3V50-O70,156.9,1,2,3,33.33333333333333,118928664,118928664.0,4,50.0,313.8,0.0,156.9,COMPUTING,Dell,35.483855883280434,147.49,156.9,0,New,0.0,78.45
"Pre-Owned Dell 7010 Desktop Computer with Intel Core i5 Processor, 16GB Memory, 1TB HD and Windows 11 Used PC with (Monitor Not Included)",6B0-NEUF-7VS,0.0,0,0,0,,897901103,897901103.0,0,,0.0,0.0,0.0,TABLETS,Dell,100.0,0.0,,0,Pre-Owned: Good,,
"Pre-Owned HP 8200 Desktop Computer PC - Intel Quad-Core i5, 750GB HDD, 4GB DDR3 RAM, Windows 10 Pro, DVD, WIFI, (Monitor Not Included) Monitor, RGB Keyboard and Mouse (Used )",J26-Y3-L0A,0.0,0,0,0,,3676521768,3676521768.0,0,,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,Pre-Owned: Like New,,
"HP ProDesk 600G1 Tower Computer PC, Intel Quad-Core i5, 2TB HDD, 16GB DDR3 RAM, Windows 10 Home, DVD, WIFI, Monitor Not Included, USB Keyboard and Mouse (Used - Like )",4SI-IXE-8C6,777.96,5,5,53,9.433962264150944,829547933,829547933.0,81,7.4074074074074066,777.96,0.0,0.0,TABLETS,HP,16.836721420288086,731.28,155.592,0,New,0.0,0.0
"Restored Lenovo M72z 20"" All in One PC Core i3 CPU 8GB RAM 500GB HDD Wireless Keyboard and Mouse with Windows 10 (Refurbished)",HY2-8PM-ETD,0.0,0,0,0,,850235688,850235688.0,7,0.0,0.0,0.0,0.0,TABLETS,Lenovo,12.244917869567873,0.0,,0,Restored: Like New,,
Lenovo USB Keyboard Black US English 103P (4X30M86879),Y64P-ODBH-I5TGX,0.0,0,1,9,11.11111111111111,746705048,746705048.0,34,5.88235294117647,7.57,0.0,7.57,COMPUTER ACCESSORIES,Lenovo,0.0,0.0,7.57,0,New,0.0,7.57
"Restored HP G1 Desktop Computer Core i5 Processor 3.2GHz 16GB RAM 2TB HDD 19"" LCD Windows 10 (Refurbished)",R5X-XJU-UCFU,0.0,0,0,0,,1248163907,1248163907.0,22,0.0,0.0,0.0,0.0,TABLETS,HP,72.0116195678711,0.0,,0,Restored: Like New,,
"Restored Windows 7 Pro 64bit Fast HP 8200 Desktop Computer Tower PC Intel Quad-Core i5 3.2GHz Processor 16GB RAM 250GB Hard Drive with a 22"" LCD Monitor Keyboard and Mouse (Refurbished)",QZ1-7W69-U19,0.0,0,0,0,,417990072,417990072.0,0,,0.0,0.0,0.0,TABLETS,Roundedsam,0.0,0.0,,0,Restored: Good,,
USED Dell OptiPlex 9010 Small Form Factor Intel Core i7-3770 3.4GHz up to 3.9GHz 32GB 250GB Win 10 Pro,CUX-XKF-0BO,0.0,0,0,0,,290015311,290015311.0,0,,0.0,0.0,0.0,TABLETS,Dell,88.19241333007812,0.0,,0,Pre-Owned: Good,,
Dell OptiPlex 7010 Desktop Computer Tower Intel Core i3 16GB Memory 480SSD HDD DVD-RW Wi-Fi (Monitor Not Included) with 16GB Flash Drive-Used Windows 11 PC,JAX-B1HR-6JR,0.0,0,0,0,,973775783,973775783.0,0,,0.0,0.0,0.0,TABLETS,Dell,100.0,0.0,,0,New,,
HP Desktop Computer VGA Cable 5 FT - Limit 2,6PY-N4X40HR,11.74,2,3,17,17.647058823529413,924869927,924869927.0,24,12.5,17.61,5.87,0.0,COMPUTER ACCESSORIES,Generic,25.0,9.98,5.87,1,Restored: Like New,0.3333333333333333,0.0
Pre-Owned Dell OptiPlex 7010 Windows 11 Pro Desktop Computer Intel i5 Processor 2.13GHz 16GB RAM 256SSD DVD Wifi(Monitor Not Included) (Refurbished: Like New),F7P-8-420,0.0,0,0,0,,1806962279,1806962279.0,0,,0.0,0.0,0.0,TABLETS,Dell,0.0,0.0,,0,New,,
"Restored Dell 9010 Optiplex Desktop Tower Computer, Intel Core i5, 8GB RAM, 2TB HD, DVD-ROM, Windows 10 Windows 10 Professional, Black (Refurbished)",IU8-AWK7-UWCA,0.0,0,0,0,,430944978,430944978.0,0,,0.0,0.0,0.0,TABLETS,Dell,50.0,0.0,,0,Restored: Like New,,
"Restored HP G1 Desktop Computer Core i5 CPU up to 16GB RAM 2TB HDD or 512GB SSD and a 24"" LCD with Windows 10 (Refurbished)",EFJ-J6B-BYVT,0.0,0,0,0,,1727684382,1727684382.0,0,,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,Restored: Like New,,
"Restored Dell OptiPlex 380 Desktop PC with Intel Core DC E5800 Processor, 8GB Memory, 1TB Hard Drive and Windows 10 Home (Monitor Not Included) (Refurbished)",VZ7-7VC-KLS8,0.0,0,1,2,50.0,55079751,55079751.0,3,33.33333333333333,190.06,0.0,190.06,TABLETS,Dell,13.994192123413086,0.0,190.06,0,Restored: Like New,0.0,190.06
Gaming LENOVO Desktop PC i5 128GB SSD + 1TB For Fortnite Gaming Windows 10 Pro,DP5-3T79-B82,0.0,0,0,0,,502864145,502864145.0,0,,0.0,0.0,0.0,COMPUTING,Lenovo,0.0,0.0,,0,New,,
"Pre-Owned Used Dell 7010-T Desktop PC with Intel Core i5-3570 Processor, 16GB Memory, 500GB Hard Drive and Windows 11 Pro (Monitor Not Included)",DEB-RMZB-J1N,0.0,0,0,0,,350135157,350135157.0,0,,0.0,0.0,0.0,TABLETS,Dell,27.98838424682617,0.0,,0,Pre-Owned: Good,,
Dell OptiPlex 980 MT Used PC - Intel Core i5 650 1st Gen 3.2 GHz 8GB 500GB HDD DVD-ROM Windows 10 Pro 64-Bit,00643664077119,0.0,0,0,0,,679509824,679509824.0,0,,0.0,0.0,0.0,TABLETS,Dell,0.0,0.0,,0,New,,
"Restored HP Compaq 8300 Desktop Tower Computer, Intel Core i5, 8GB RAM, 2TB HD, DVD-ROM, Windows 10, Black (Refurbished)",VBS-P3C-MIU,0.0,0,0,0,,136915504,136915504.0,3,0.0,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,Restored: Like New,,
Pre-Owned Used Windows 11 Pro 64bit Fast HP 8200 Desktop Computer Tower PC Intel Quad-Core i5 3.2GHz Processor 16GB RAM 250GB Hard Drive with (Monitor Not Included)s Keyboard and Mouse,EH5-3J52-K86,0.0,0,0,0,,729271028,729271028.0,0,,0.0,0.0,0.0,WIRELESS ACCESSORIES L2,HP,0.0,0.0,,0,Pre-Owned: Good,,
"Pre-Owned DELL Optiplex 990 Tower Computer PC, Intel Quad-Core i7, 1TB HDD, 8GB DDR3 RAM, Windows 10 Home, DVD, WIFI, USB Keyboard and Mouse",CKZ-ZHA-EMW,0.0,0,0,0,,857604941,857604941.0,0,,0.0,0.0,0.0,TABLETS,Dell,0.0,0.0,,0,Pre-Owned: Good,,
Restored Dell Optiplex 3010 SFF I5-3470 QC 3.2Ghz 8GB 1TB Dvd Windows 10 Professional 64 Bit Desktop Computer PC HDMI (Refurbished),P4S-SDX-UVRG,0.0,0,0,0,,202212915,202212915.0,0,,0.0,0.0,0.0,TABLETS,Dell,0.0,8.8,,0,Restored: Like New,,
"Restored Dell Optiplex Desktop Computer 3.0 GHz Core i5 Tower PC, 16GB, 250GB HDD, Windows 10 Home x64, 19"" Dual Monitor , USB Mouse & Keyboard (Refurbished)",GTI-M1L-XSE,0.0,0,0,2,0.0,773040424,773040424.0,2,0.0,0.0,0.0,0.0,TABLETS,Dell,100.0,0.0,,0,New,,
"Pre-Owned Dell OptiPlex 7010 Desktop Towers, Intel Core i5, 16GB, 2TB HD, DVD, Black",LOL-KD3K-L3J,0.0,0,0,0,,137506491,137506491.0,0,,0.0,0.0,0.0,TABLETS,Dell,66.32655715942383,0.0,,0,Pre-Owned: Like New,,
"Dell OptiPlex 3020 Ultra Small Form Desktop Computer PC, 3.20 GHz Intel i5 Quad Core , 16GB DDR3 RAM, 480SSD HDD Hard Drive, Windows 7 Pro 64Bit with 19"" LCD Monitor",6UN-9B5M-TKX,0.0,0,1,1,100.0,843007206,843007206.0,3,33.33333333333333,171.93,0.0,171.93,COMPUTING,Dell,50.0,0.0,171.93,0,New,0.0,171.93
"Restored Dell 990 SFF Desktop PC with Intel Core i5-2400 Processor, 8GB Memory, 500GB Hard Drive and Windows 10 Pro (Refurbished)",UUV-MADK-XPHT,330.0,3,1,0,,56238086,56238086.0,3,33.33333333333333,330.0,0.0,0.0,TABLETS,Dell,32.653114318847656,310.2,110.0,0,Restored: Like New,0.0,0.0
"Dell Optiplex 7020 Desktop Computer, Intel Core I5, 4GB RAM 512GB SSD Windows 10 Professional, Includes USB Keyboard and Mouse",H2V-ZTDU-OGDV,139.9,1,1,1,100.0,514074026,514074026.0,2,50.0,139.9,0.0,0.0,TABLETS,Dell,100.0,131.51,139.9,0,New,0.0,0.0
"Restored HP G1 Desktop Computer Core i5 Processor 3.2GHz 16GB RAM 256GB SSD Dual 22"" LCD Windows 10 Pro (Refurbished)",B0B-BE3-LHV3,0.0,0,0,0,,1416575514,1416575514.0,0,,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,Restored: Like New,,
"Restored Dell OptiPlex Desktop Computer | Intel Core i7 6th gen | 16GB RAM | 2TB HDD | Windows 10 Pro | Dual 22"" LCD (Refurbished)",YZ6J-G7S0-EN6XD,309.0,1,1,3,33.33333333333333,11157953237,11157953237.0,5,20.0,309.0,0.0,0.0,TABLETS,Dell,100.0,290.46,309.0,0,Restored: Like New,0.0,0.0
"Dell OptiPlex 7010 Desktop Computer PC, 3.40 GHz Intel i7 Quad Core Gen 3, 16GB DDR3 RAM, 1TB Hard Disk Drive (HDD) SATA Hard Drive, Windows 10 Home 64bit",QAW-WDL-SAT,0.0,0,0,0,,594339455,594339455.0,0,,0.0,0.0,0.0,COMPUTING,Dell,0.0,0.0,,0,New,,
Dell OptiPlex 7010 Desktop PC Tower System Windows 11 Pro Intel i5 Processor 16GB Ram 480SSD Hard Drive DVD Wifi with a (Monitor Not Included) -Used Computer,VQ2-2BO-O91S,208.41,1,1,1,100.0,2151885126,2151885126.0,3,33.33333333333333,208.41,0.0,0.0,TABLETS,Dell,27.98838424682617,195.91,208.41,0,New,0.0,0.0
"Dell OptiPlex Desktop Tower Computer, Intel Core i5 i5-4690, 8GB RAM, DVD Writer, Windows 8.1 Pro, 3020",L35-5SK-AW30,0.0,0,0,1,0.0,41680998,41680998.0,2,0.0,0.0,0.0,0.0,COMPUTING,Dell,100.0,0.0,,0,New,,
Dell OptiPlex 7010 Desktop Computer Bundle Windows 11 Core i3 Processor 8GB Memory 2TB Hard Drive DVD-RW Wi-fi with a (Monitor Not Included)-Used Computer,AEP-6GTW-CN6,151.1,1,1,3,33.33333333333333,881295615,881295615.0,5,20.0,151.1,0.0,0.0,TABLETS,Dell,0.0,142.03,151.1,0,New,0.0,0.0
"Dell Optiplex 7010 Windows 7 Pro Premium Desktop PC Tower Intel Core i5 3.0GHz Processor 8GB RAM 500GB Hard Drive DVD-RW Wifi with a 19"" LCD-Used Computer",VU1-9B57-O95,0.0,0,0,1,0.0,368530817,368530817.0,1,0.0,0.0,0.0,0.0,TABLETS,Dell,13.994192123413086,0.0,,0,New,,
