#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
,,,,,,"280.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_874090EF
,,,,,,"289.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_7F8CC1BC
,,,,,,"310.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=2 TB|Accessories=NONE,IF_E85B0090
,,,,,,"315.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_9924E69D
,,,,,,"154.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_93F6A5D0
,,,,,,"159.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_D58192A3
,,,,,,"169.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_6049CB02
,,,,,,"174.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_4A1919A1
,,,,,,"192.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_46EF105B
,,,,,,"200.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_0DF494DB
,,,,,,"240.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=NONE,IF_BC006067
,,,,,,"245.25",,"3","Variation",Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_D72729FC
,,,,,,"184.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_C5CFF17F
,,,,,,"189.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_E0A12CA0
,,,,,,"195.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_E43CE2CB
,,,,,,"199.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_A5954B64
,,,,,,"215.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_0EF68F9D
,,,,,,"225.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_A095648A
,,,,,,"285.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=NONE,IF_2BE56311
,,,,,,"290.25",,"3","Variation",Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_ADDD5600
,,,,,,"220.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_918A4A11
,,,,,,"225.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_30B72F9E
,,,,,,"235.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_3D316FA1
,,,,,,"240.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_04F798B3
,,,,,,"290.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_1C3004E4
,,,,,,"300.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_3708100F
,,,,,,"320.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=2 TB|Accessories=NONE,IF_2E2B4832
,,,,,,"340.25",,"3","Variation",Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_4E193BA3
Revise,"PC Desktops & All-In-Ones (179)","167794250105",Lenovo Windows 11 Pro Desktop Intel i5 Computer PC SFF 16GB RAM 512GB SSD WiFi,"US","USD","164.25",,"3",,,IF_CA43AEE7
Revise,"PC Desktops & All-In-Ones (179)","157324971862",Lenovo Windows 11 Pro Desktop Intel i5 Computer PC SFF 8/16GB RAM 512GB SSD WiFi,"US","USD",,,,,RAM Size=8 GB;16 GB|SSD Capacity=256 GB;512 GB;1 TB,33868833
,,,,,,"125.25",,"3","Variation",RAM Size=8 GB|SSD Capacity=256 GB,6LD-YHK-RRV
,,,,,,"150.25",,"3","Variation",RAM Size=8 GB|SSD Capacity=512 GB,6LD-YHK-RRV-1
,,,,,,"185.25",,"3","Variation",RAM Size=8 GB|SSD Capacity=1 TB,6LD-YHK-RRV-2
,,,,,,"184.25",,"3","Variation",RAM Size=16 GB|SSD Capacity=256 GB,6LD-YHK-RRV-3
,,,,,,"199.25",,"3","Variation",RAM Size=16 GB|SSD Capacity=512 GB,6LD-YHK-RRV-4
,,,,,,"250.25",,"3","Variation",RAM Size=16 GB|SSD Capacity=1 TB,6LD-YHK-RRV-5
Revise,"PC Desktops & All-In-Ones (179)","167794422406",Windows 11 Lenovo Small Tiny PC Computer Intel i5-6th 32GB 2TB SSD Wi-Fi Desktop,"US","USD",,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=128 GB;256 GB;512 GB;1 TB;2 TB|ACCESSORIES=Display Cable;None,33868877
,,,,,,"140.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=128 GB|ACCESSORIES=Display Cable,QZX-5WR-THH-0
,,,,,,"135.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=128 GB|ACCESSORIES=None,QZX-5WR-THH-1
,,,,,,"160.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=256 GB|ACCESSORIES=Display Cable,QZX-5WR-THH-2
,,,,,,"155.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=256 GB|ACCESSORIES=None,QZX-5WR-THH-3
,,,,,,"190.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=512 GB|ACCESSORIES=Display Cable,QZX-5WR-THH-4
,,,,,,"185.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=512 GB|ACCESSORIES=None,QZX-5WR-THH-5
,,,,,,"225.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=1 TB|ACCESSORIES=Display Cable,QZX-5WR-THH-6
,,,,,,"220.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=1 TB|ACCESSORIES=None,QZX-5WR-THH-7
,,,,,,"280.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=2 TB|ACCESSORIES=Display Cable,QZX-5WR-THH-8
,,,,,,"270.0",,"3","Variation",RAM Size=8 GB|SSD Capacity=2 TB|ACCESSORIES=None,QZX-5WR-THH-9
,,,,,,"175.0",,"3","Variation",RAM Size=16 GB|SSD Capacity=128 GB|ACCESSORIES=Display Cable,QZX-5WR-THH-10
,,,,,,"170.0",,"3","Variation",RAM Size=16 GB|SSD Capacity=128 GB|ACCESSORIES=None,QZX-5WR-THH-11
,,,,,,"190.0",,"3","Variation",RAM Size=16 GB|SSD Capacity=256 GB|ACCESSORIES=Display Cable,QZX-5WR-THH-12
,,,,,,"185.0",,"3","Variation",RAM Size=16 GB|SSD Capacity=256 GB|ACCESSORIES=None,QZX-5WR-THH-13
,,,,,,"230.0",,"3","Variation",RAM Size=16 GB|SSD Capacity=512 GB|ACCESSORIES=Display Cable,QZX-5WR-THH-14
,,,,,,"225.0",,"3","Variation",RAM Size=16 GB|SSD Capacity=512 GB|ACCESSORIES=None,QZX-5WR-THH-15
